NAME,ADDRESS_AB,longitude,latitude
FFCA High School Campus,2116 McKay Road N.W.,-114.1519278,51.06958106
Westbrook Outreach,"#3, 1002 - 37 Street S.W",-114.1403068,51.04428799
William Aberhart High,3009 Morley Trail N.W.,-114.1153375,51.07866951
Father Scollen,6839 Temple Drive N.E.,-113.9419616,51.09302027
Calgary Quest,3405 Spruce Drive S.W. c/o Spruce Cliff Elementary,-114.1366387,51.0497215
Holy Angels,275 Riverglen Drive SE,-114.0100177,50.97409534
St. Peter Elementary,720 - 58 Street S.E.,-113.949107,51.04618504
Filipino Language and Cultural School of Calgary,Bay 204 & 206 4656 Westwinds Dr NE,-113.9678004,51.10064698
SAIT - Art Smith Aero Centre,,-114.0054563,51.1011594
St. Helena,320 - 64 Avenue N.W.,-114.0677619,51.1115067
Huntington Hills,820 - 64 Avenue N.W.,-114.0774569,51.11220898
Dr. Gordon Townsend,28 Oki Drive NW,-114.1483456,51.07449452
Holy Trinity,1717 - 41 Street S.E.,-113.9749456,51.03897001
Father Doucet,65 Shannon Drive S.W.,-114.0851689,50.90934423
Dr. Roberta Bondar,1580 Strathcona Drive,-114.2055305,51.05033672
Mount Royal University - Lincoln Park Campus,,-114.1327203,51.01280496
Bishop McNally High,5700 Falconridge Boulevard N.E,-113.9537059,51.10303042
Banff Trail,3232 Cochrane Road N.W.,-114.1167588,51.08163948
Joane Cardinal-Schubert High,19480-45 Street SE,-113.9440104,50.87802221
Jack James High,5105 - 8 Avenue S.E.,-113.9603709,51.04456881
Highwood,11 Holmwood Avenue N.W.,-114.0765328,51.09224357
National Sport,Suite 110 151 Canada Olympic Road SW,-114.2210265,51.08479481
Juno Beach Academy of Canadian Studies,315 - 86 Avenue SE,-114.0650625,50.97532112
Auburn Bay,7 Auburn Bay Avenue SE,-113.962328,50.896755
Ethel M. Johnson,255 Sackville Drive S.W.,-114.0890389,50.95547339
Northeast Elementary Campus,1140 Mayland Drive NE,-114.0112907,51.06419426
Dr. J. K. Mulloy,7440 - 10 Street N.W.,-114.079969,51.11922507
Copperfield,54 Copperstone Road SE,-113.9288059,50.91483204
Guardian Angel,20 Aspen Hills Dr. SW,-114.2164654,51.04062873
Italian School of Calgary,416-1 Avenue N.E.,-114.0531472,51.0537463
Forest Lawn High,1304 - 44 Street S.E.,-113.9689496,51.04240307
Calgary Arts Academy,640 14th Avenue S.E.,-114.0492422,51.03940198
Griffith Woods,7652 - 26 Avenue,-114.194747,51.03097941
Rosscarrock,1406 - 40 Street S.W.,-114.1447822,51.04121638
Calgary Chinese Private,126 2nd Avenue S.W,-114.0642879,51.05161459
Rundle College Elementary,7615 - 17 Ave SW,-114.1973197,51.03671309
Clarence Sansom,5840 - 24 Avenue N.E.,-113.9491955,51.07461348
River Valley School ECS,3127 Bowwood Drive N.W.,-114.1743441,51.07946941
Renfrew Educational Services - Park Place Centre,2050 - 21 Street N.E.,-114.0082917,51.06961698
Robert Thirsk,8777 Nose Hill Drive N.W.,-114.1947783,51.13084134
Ecole de La Source,360 - 94 Avenue S.E.,-114.0618314,50.96917876
St. Dominic,4820 Dalhart Road N.W.,-114.1542441,51.10955875
Louis Riel,9632 Oakfield Drive S.W.,-114.1322579,50.96673113
Apostles of Jesus,15 Skyview Ranch Street NE,-113.9565131,51.15841731
William Reid,1216 - 36 Avenue S.W.,-114.0903428,51.0221745
Ecole St. Pius X,2312 - 18 Street N.W.,-114.1034063,51.07297253
St. John Henry Newman,16201 McKenzie Lake Boulevard S.E.,-113.9888584,50.90733934
"Almadina Language Charter Academy, Ogden Campus","118, 3132-26 St NE",-114.0121229,50.98449658
CLS James Fowler Writing Centre,4004 4 St NE,-114.0705163,51.08653215
Manmeet Singh Bhullar,1027 Martindale Blvd. NE,-113.9594225,51.12330682
